# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   55       1.498711163761e+03       1.552094034206e-01       0.000000000000e+00      -6.179191424405e-01       1.393571338997e-07       7.914079627886e-04      -9.715183981777e-07 
   56       1.520429666579e+03       1.642139223188e-01       0.000000000000e+00      -8.679694519906e-01       1.387658780093e-07       7.773098364759e-04      -1.005865611111e-06 
   57       1.542299964452e+03       1.735073386485e-01       0.000000000000e+00      -1.131031612740e+00       1.381711901200e-07       7.637389686742e-04      -1.047832459590e-06 
   58       1.564350230187e+03       1.830883179098e-01       0.000000000000e+00      -1.407197836864e+00       1.375823305114e-07       7.506817530458e-04      -1.096100319426e-06 
   59       1.586604469185e+03       1.929550356928e-01       0.000000000000e+00      -1.696553743981e+00       1.369973444022e-07       7.380623324974e-04      -1.148916717765e-06 
   60       1.609082109070e+03       2.031051649061e-01       0.000000000000e+00      -1.999178642448e+00       1.364005567286e-07       7.257346586232e-04      -1.204053573363e-06 
   61       1.631798112293e+03       2.135360576555e-01       0.000000000000e+00      -2.315130483019e+00       1.357709398381e-07       7.135378948718e-04      -1.259301927283e-06 
   62       1.654764271883e+03       2.242453674852e-01       0.000000000000e+00      -2.644396136917e+00       1.351183499189e-07       7.015040821449e-04      -1.314254528863e-06 
   63       1.677987479651e+03       2.352305447762e-01       0.000000000000e+00      -2.986930405505e+00       1.344584075911e-07       6.897051995098e-04      -1.369042537804e-06 
   64       1.701468842900e+03       2.464886479535e-01       0.000000000000e+00      -3.342670162098e+00       1.338016152330e-07       6.781925394022e-04      -1.423853520220e-06 
   65       1.725203290637e+03       2.580163368896e-01       0.000000000000e+00      -3.711534146918e+00       1.331520870453e-07       6.669936117642e-04      -1.478936800021e-06 
